# EphemeralStorageUtilized omitted: tasks stopped at pull stage before any utilization was recorded
Timestamp,MetricName,Namespace,Dimensions,Value,Unit
2026-04-17T10:00:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:00:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:01:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:01:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:02:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:02:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:03:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,1,Count
2026-04-17T10:03:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:04:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,1,Count
2026-04-17T10:04:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:05:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:05:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:06:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:06:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:10:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:10:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:15:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:15:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:20:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:20:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:30:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:30:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:40:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:40:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
2026-04-17T10:45:00Z,RunningTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,0,Count
2026-04-17T10:45:00Z,PendingTaskCount,ECS/ContainerInsights,ClusterName=tern-vision-prod;ServiceName=tern-inference-service,2,Count
