timestamp,metric_name,value,unit
2026-03-25T12:00:00Z,Route53_HealthCheckStatus,0,None
2026-03-25T12:30:00Z,Route53_HealthCheckStatus,0,None
2026-03-25T13:00:00Z,Route53_HealthCheckStatus,0,None
2026-03-25T13:30:00Z,Route53_HealthCheckStatus,0,None
2026-03-25T14:00:00Z,Route53_HealthCheckStatus,0,None
2026-03-25T14:30:00Z,Route53_HealthCheckStatus,0,None
2026-03-25T12:00:00Z,PrimaryALB_RequestCount,14832,Count
2026-03-25T12:30:00Z,PrimaryALB_RequestCount,15201,Count
2026-03-25T13:00:00Z,PrimaryALB_RequestCount,16044,Count
2026-03-25T13:30:00Z,PrimaryALB_RequestCount,8721,Count
2026-03-25T14:00:00Z,PrimaryALB_RequestCount,142,Count
2026-03-25T14:30:00Z,PrimaryALB_RequestCount,3,Count
2026-03-25T12:00:00Z,PrimaryALB_HTTPCode_ELB_5XX,0,Count
2026-03-25T12:30:00Z,PrimaryALB_HTTPCode_ELB_5XX,0,Count
2026-03-25T13:00:00Z,PrimaryALB_HTTPCode_ELB_5XX,2,Count
2026-03-25T13:30:00Z,PrimaryALB_HTTPCode_ELB_5XX,4318,Count
2026-03-25T14:00:00Z,PrimaryALB_HTTPCode_ELB_5XX,7204,Count
2026-03-25T14:30:00Z,PrimaryALB_HTTPCode_ELB_5XX,6891,Count
2026-03-25T12:00:00Z,SecondaryALB_RequestCount,12,Count
2026-03-25T12:30:00Z,SecondaryALB_RequestCount,8,Count
2026-03-25T13:00:00Z,SecondaryALB_RequestCount,15,Count
2026-03-25T13:30:00Z,SecondaryALB_RequestCount,9,Count
2026-03-25T14:00:00Z,SecondaryALB_RequestCount,11,Count
2026-03-25T14:30:00Z,SecondaryALB_RequestCount,7,Count
2026-03-25T12:00:00Z,PrimaryALB_HealthyHostCount,4,Count
2026-03-25T12:30:00Z,PrimaryALB_HealthyHostCount,4,Count
2026-03-25T13:00:00Z,PrimaryALB_HealthyHostCount,4,Count
2026-03-25T13:30:00Z,PrimaryALB_HealthyHostCount,1,Count
2026-03-25T14:00:00Z,PrimaryALB_HealthyHostCount,0,Count
2026-03-25T14:30:00Z,PrimaryALB_HealthyHostCount,0,Count
2026-03-25T12:00:00Z,SecondaryALB_HealthyHostCount,4,Count
2026-03-25T12:30:00Z,SecondaryALB_HealthyHostCount,4,Count
2026-03-25T13:00:00Z,SecondaryALB_HealthyHostCount,4,Count
2026-03-25T13:30:00Z,SecondaryALB_HealthyHostCount,4,Count
2026-03-25T14:00:00Z,SecondaryALB_HealthyHostCount,4,Count
2026-03-25T14:30:00Z,SecondaryALB_HealthyHostCount,4,Count
