timestamp,metric_name,value,unit
2026-04-20T09:00:00Z,Invocations,188,Count
2026-04-20T12:00:00Z,Invocations,241,Count
2026-04-20T18:00:00Z,Invocations,604,Count
2026-04-21T09:00:00Z,Invocations,197,Count
2026-04-21T12:00:00Z,Invocations,264,Count
2026-04-21T18:00:00Z,Invocations,622,Count
2026-04-21T22:00:00Z,Invocations,42,Count
2026-04-21T22:30:00Z,Invocations,0,Count
2026-04-21T23:00:00Z,Invocations,0,Count
2026-04-22T00:00:00Z,Invocations,0,Count
2026-04-22T03:00:00Z,Invocations,0,Count
2026-04-22T06:00:00Z,Invocations,0,Count
2026-04-22T09:00:00Z,Invocations,0,Count
2026-04-22T11:30:00Z,Invocations,0,Count
2026-04-20T09:00:00Z,Errors,2,Count
2026-04-21T22:00:00Z,Errors,0,Count
2026-04-22T11:30:00Z,Errors,0,Count
2026-04-20T09:00:00Z,Throttles,0,Count
2026-04-22T11:30:00Z,Throttles,0,Count
