timestamp,bucket,prefix,metric_name,value,unit
2026-04-24T03:55:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,142,Count
2026-04-24T03:56:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,178,Count
2026-04-24T03:57:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,201,Count
2026-04-24T03:58:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,224,Count
2026-04-24T03:59:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,253,Count
2026-04-24T04:00:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,89412,Count
2026-04-24T04:01:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,287394,Count
2026-04-24T04:02:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,341208,Count
2026-04-24T04:03:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,338719,Count
2026-04-24T04:04:00Z,prismstream-segments-prod,the-glasshouse/,GetRequests,331842,Count
2026-04-24T03:55:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,0,Count
2026-04-24T03:56:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,0,Count
2026-04-24T03:57:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,0,Count
2026-04-24T03:58:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,0,Count
2026-04-24T03:59:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,0,Count
2026-04-24T04:00:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,12,Count
2026-04-24T04:01:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,1842,Count
2026-04-24T04:02:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,4108,Count
2026-04-24T04:03:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,4231,Count
2026-04-24T04:04:00Z,prismstream-segments-prod,the-glasshouse/,5xxErrors,4188,Count
2026-04-24T03:55:00Z,prismstream-segments-prod,other-shows/,GetRequests,127432,Count
2026-04-24T04:00:00Z,prismstream-segments-prod,other-shows/,GetRequests,131204,Count
2026-04-24T04:02:00Z,prismstream-segments-prod,other-shows/,GetRequests,133891,Count
2026-04-24T04:04:00Z,prismstream-segments-prod,other-shows/,GetRequests,135214,Count
2026-04-24T03:55:00Z,prismstream-segments-prod,other-shows/,5xxErrors,0,Count
2026-04-24T04:00:00Z,prismstream-segments-prod,other-shows/,5xxErrors,0,Count
2026-04-24T04:02:00Z,prismstream-segments-prod,other-shows/,5xxErrors,0,Count
2026-04-24T04:04:00Z,prismstream-segments-prod,other-shows/,5xxErrors,0,Count
