Timestamp,Metric,Namespace,FunctionName/AgentId,Value,Unit
2026-03-20T12:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,142,Count
2026-03-20T13:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,157,Count
2026-03-20T14:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,163,Count
2026-03-20T15:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,98,Count
2026-03-20T16:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-20T17:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-20T18:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-21T08:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-21T12:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-21T18:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-22T08:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-22T12:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-23T08:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-23T12:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-24T08:00:00Z,Invocations,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-20T12:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-20T13:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-20T14:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-20T15:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-20T16:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-21T12:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-22T12:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-23T12:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-24T08:00:00Z,Errors,AWS/Lambda,clairvue-dashboard-query,0,Count
2026-03-20T12:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,134,Count
2026-03-20T13:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,148,Count
2026-03-20T14:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,155,Count
2026-03-20T15:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,91,Count
2026-03-20T16:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,87,Count
2026-03-20T17:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,63,Count
2026-03-20T18:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,41,Count
2026-03-21T08:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,122,Count
2026-03-21T12:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,159,Count
2026-03-21T18:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,45,Count
2026-03-22T08:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,38,Count
2026-03-22T12:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,42,Count
2026-03-23T08:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,35,Count
2026-03-23T12:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,39,Count
2026-03-24T08:00:00Z,InvokeAgent,AWS/Bedrock,ABCDE12345,147,Count
2026-03-20T12:00:00Z,InvokeAgentErrors,AWS/Bedrock,ABCDE12345,0,Count
2026-03-20T16:00:00Z,InvokeAgentErrors,AWS/Bedrock,ABCDE12345,0,Count
2026-03-21T12:00:00Z,InvokeAgentErrors,AWS/Bedrock,ABCDE12345,0,Count
2026-03-22T12:00:00Z,InvokeAgentErrors,AWS/Bedrock,ABCDE12345,0,Count
2026-03-23T12:00:00Z,InvokeAgentErrors,AWS/Bedrock,ABCDE12345,0,Count
2026-03-24T08:00:00Z,InvokeAgentErrors,AWS/Bedrock,ABCDE12345,0,Count
