timestamp,metric_name,value,unit
2026-03-25T09:00:00Z,ConsumedReadCapacityUnits,18.4,Count
2026-03-25T09:15:00Z,ConsumedReadCapacityUnits,19.1,Count
2026-03-25T09:30:00Z,ConsumedReadCapacityUnits,21.3,Count
2026-03-25T09:45:00Z,ConsumedReadCapacityUnits,19.8,Count
2026-03-25T10:00:00Z,ConsumedReadCapacityUnits,100.0,Count
2026-03-25T10:05:00Z,ConsumedReadCapacityUnits,100.0,Count
2026-03-25T10:10:00Z,ConsumedReadCapacityUnits,100.0,Count
2026-03-25T10:15:00Z,ConsumedReadCapacityUnits,100.0,Count
2026-03-25T10:20:00Z,ConsumedReadCapacityUnits,100.0,Count
2026-03-25T10:25:00Z,ConsumedReadCapacityUnits,100.0,Count
2026-03-25T10:30:00Z,ConsumedReadCapacityUnits,100.0,Count
2026-03-25T10:35:00Z,ConsumedReadCapacityUnits,100.0,Count
2026-03-25T10:40:00Z,ConsumedReadCapacityUnits,22.1,Count
2026-03-25T10:45:00Z,ConsumedReadCapacityUnits,19.7,Count
2026-03-25T09:00:00Z,ThrottledRequests,0,Count
2026-03-25T09:15:00Z,ThrottledRequests,0,Count
2026-03-25T09:30:00Z,ThrottledRequests,0,Count
2026-03-25T09:45:00Z,ThrottledRequests,0,Count
2026-03-25T10:00:00Z,ThrottledRequests,12,Count
2026-03-25T10:05:00Z,ThrottledRequests,214,Count
2026-03-25T10:10:00Z,ThrottledRequests,387,Count
2026-03-25T10:15:00Z,ThrottledRequests,412,Count
2026-03-25T10:20:00Z,ThrottledRequests,398,Count
2026-03-25T10:25:00Z,ThrottledRequests,445,Count
2026-03-25T10:30:00Z,ThrottledRequests,401,Count
2026-03-25T10:35:00Z,ThrottledRequests,423,Count
2026-03-25T10:40:00Z,ThrottledRequests,3,Count
2026-03-25T10:45:00Z,ThrottledRequests,0,Count
2026-03-25T09:00:00Z,SuccessfulRequestLatency,8.2,Milliseconds
2026-03-25T09:15:00Z,SuccessfulRequestLatency,7.9,Milliseconds
2026-03-25T09:30:00Z,SuccessfulRequestLatency,9.1,Milliseconds
2026-03-25T09:45:00Z,SuccessfulRequestLatency,8.4,Milliseconds
2026-03-25T10:00:00Z,SuccessfulRequestLatency,142.3,Milliseconds
2026-03-25T10:05:00Z,SuccessfulRequestLatency,894.7,Milliseconds
2026-03-25T10:10:00Z,SuccessfulRequestLatency,2341.2,Milliseconds
2026-03-25T10:15:00Z,SuccessfulRequestLatency,4102.8,Milliseconds
2026-03-25T10:20:00Z,SuccessfulRequestLatency,3987.4,Milliseconds
2026-03-25T10:25:00Z,SuccessfulRequestLatency,4211.6,Milliseconds
2026-03-25T10:30:00Z,SuccessfulRequestLatency,4089.1,Milliseconds
2026-03-25T10:35:00Z,SuccessfulRequestLatency,3924.5,Milliseconds
2026-03-25T10:40:00Z,SuccessfulRequestLatency,12.4,Milliseconds
2026-03-25T10:45:00Z,SuccessfulRequestLatency,8.1,Milliseconds
2026-03-25T09:00:00Z,ConsumedWriteCapacityUnits,12.1,Count
2026-03-25T09:15:00Z,ConsumedWriteCapacityUnits,14.3,Count
2026-03-25T09:30:00Z,ConsumedWriteCapacityUnits,13.8,Count
2026-03-25T09:45:00Z,ConsumedWriteCapacityUnits,15.2,Count
2026-03-25T10:00:00Z,ConsumedWriteCapacityUnits,14.9,Count
2026-03-25T10:05:00Z,ConsumedWriteCapacityUnits,3.1,Count
2026-03-25T10:10:00Z,ConsumedWriteCapacityUnits,0.4,Count
2026-03-25T10:15:00Z,ConsumedWriteCapacityUnits,0.2,Count
2026-03-25T10:20:00Z,ConsumedWriteCapacityUnits,0.1,Count
2026-03-25T10:25:00Z,ConsumedWriteCapacityUnits,0.1,Count
2026-03-25T10:30:00Z,ConsumedWriteCapacityUnits,0.1,Count
2026-03-25T10:35:00Z,ConsumedWriteCapacityUnits,0.1,Count
2026-03-25T10:40:00Z,ConsumedWriteCapacityUnits,11.8,Count
2026-03-25T10:45:00Z,ConsumedWriteCapacityUnits,13.4,Count
