version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.14 52.217.165.81 49152 443 6 18432 26843545600 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.81 10.0.2.14 443 49152 6 4096 2097152 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.14 52.217.165.94 49153 443 6 17920 26306867200 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.94 10.0.2.14 443 49153 6 3840 1966080 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.15 52.217.165.81 49154 443 6 19456 28454256640 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.81 10.0.2.15 443 49154 6 4352 2228224 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.15 52.217.165.108 49155 443 6 18176 26575110144 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.108 10.0.2.15 443 49155 6 3968 2031616 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.16 52.217.165.81 49156 443 6 17664 25769803776 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.81 10.0.2.16 443 49156 6 3712 1900544 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.16 52.217.165.94 49157 443 6 18944 27648344064 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.94 10.0.2.16 443 49157 6 4224 2162688 1711756800 1711760400 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.14 52.217.165.108 49158 443 6 19200 28051014656 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.108 10.0.2.14 443 49158 6 4480 2293760 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.14 52.217.165.81 49159 443 6 17408 25434963968 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.81 10.0.2.14 443 49159 6 3584 1835008 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.15 52.217.165.94 49160 443 6 18688 27311227904 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.94 10.0.2.15 443 49160 6 4096 2097152 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.15 52.217.165.108 49161 443 6 19712 28790702080 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.108 10.0.2.15 443 49161 6 4608 2359296 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.16 52.217.165.81 49162 443 6 17920 26172841984 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.81 10.0.2.16 443 49162 6 3840 1966080 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 10.0.2.16 52.217.165.94 49163 443 6 18432 26911031296 1711760400 1711764000 ACCEPT OK
2 339712847465 eni-0a1b2c3d4e5f67890 52.217.165.94 10.0.2.16 443 49163 6 4224 2162688 1711760400 1711764000 ACCEPT OK
#
# Notes:
# - interface-id eni-0a1b2c3d4e5f67890 is the NAT Gateway ENI
# - srcaddr 10.0.2.14, 10.0.2.15, 10.0.2.16 are the three pipeline EC2 instances
# - dstaddr 52.217.165.x are Amazon S3 IP addresses (AMAZON prefix list)
# - bytes values show ~25-28 GB per flow per hour (outbound to S3)
# - ALL S3 traffic passes through the NAT Gateway ENI
# - Total daily volume across all instances: ~500 GB
# - Two time windows shown: 1711756800-1711760400 and 1711760400-1711764000 (1-hour windows)
